251658240:268435455 0:4294967295 0:65535 0:65535 0:255
3231124246:3231124246 253524001:253524001 0:65535 1733:1733 6:6
3231124267:3231124267 253524001:253524001 0:65535 1733:1733 6:6
3231124306:3231124307 253524001:253524001 0:65535 1733:1733 6:6
3231124409:3231124409 253524001:253524001 0:65535 1733:1733 6:6
3231124412:3231124412 253524001:253524001 0:65535 1733:1733 6:6
3231124414:3231124414 253524001:253524001 0:65535 1733:1733 6:6
3231124409:3231124409 253524002:253524002 0:65535 1734:1734 6:6
3231124412:3231124412 253524002:253524002 0:65535 1734:1734 6:6
3231124414:3231124414 253524002:253524002 0:65535 1734:1734 6:6
3231124265:3231124265 253526025:253526025 0:65535 1521:1521 6:6
3231124270:3231124270 253571091:253571091 0:65535 30899:30899 6:6
3231124270:3231124270 256788560:256788560 0:65535 32201:32201 6:6
3231124393:3231124393 256788560:256788560 0:65535 32200:32200 6:6
3231124270:3231124270 256788565:256788565 0:65535 32201:32201 6:6
3231124393:3231124393 256788565:256788565 0:65535 32200:32200 6:6
3231124280:3231124280 253631252:253631252 0:65535 1526:1526 6:6
3231124360:3231124360 253708325:253708325 0:65535 1433:1433 6:6
3231124360:3231124360 253708325:253708325 0:65535 55444:55444 6:6
3231124360:3231124360 253708325:253708325 0:65535 0:65535 6:6
3231124286:3231124286 253928712:253928712 0:65535 1521:1521 6:6
3231124286:3231124286 253928714:253928714 0:65535 1521:1521 6:6
3231123968:3231124479 254062796:254062796 0:65535 5555:5555 6:6
3231123968:3231124479 254062796:254062796 0:65535 0:65535 6:6
3231123968:3231124479 254062859:254062859 0:65535 5555:5555 6:6
3231123968:3231124479 254062859:254062859 0:65535 0:65535 6:6
3231123968:3231124479 254062861:254062861 0:65535 5555:5555 6:6
3231123968:3231124479 254062861:254062861 0:65535 0:65535 6:6
3231123968:3231124479 254062969:254062969 0:65535 5555:5555 6:6
3231123968:3231124479 254062969:254062969 0:65535 0:65535 6:6
3231123968:3231124479 254063064:254063064 0:65535 5555:5555 6:6
3231123968:3231124479 254063064:254063064 0:65535 0:65535 6:6
3231124245:3231124245 254064106:254064106 0:65535 0:65535 6:6
3231124245:3231124245 254064106:254064106 0:65535 135:135 6:6
3231124245:3231124245 254064106:254064106 0:65535 135:135 17:17
3231124245:3231124245 254064106:254064106 0:65535 512:512 17:17
3231124245:3231124245 254064106:254064106 0:65535 8101:65535 6:6
3231124245:3231124245 254064106:254064106 0:65535 8000:65535 6:6
3231124245:3231124245 254064106:254064106 0:65535 8101:65535 17:17
3231124245:3231124245 254064106:254064106 0:65535 8000:65535 17:17
3231124245:3231124245 254064106:254064106 0:65535 0:65535 1:1
3231124357:3231124357 254566427:254566427 0:65535 6789:6789 6:6
3231124357:3231124357 254566427:254566427 0:65535 6790:6790 6:6
3231124357:3231124357 254566434:254566434 0:65535 6789:6789 6:6
3231124357:3231124357 254566434:254566434 0:65535 6790:6790 6:6
3231124251:3231124251 254566441:254566441 0:65535 135:135 17:17
3231124251:3231124251 254566441:254566441 0:65535 135:135 6:6
3231124251:3231124251 254566441:254566441 0:65535 0:7499 6:6
3231124251:3231124251 254566441:254566441 0:65535 0:7599 6:6
3231124252:3231124252 254566441:254566441 0:65535 135:135 17:17
3231124252:3231124252 254566441:254566441 0:65535 135:135 6:6
3231124252:3231124252 254566441:254566441 0:65535 0:7499 6:6
3231124252:3231124252 254566441:254566441 0:65535 0:7599 6:6
3231124286:3231124286 254566446:254566446 0:65535 1540:1540 6:6
3231124286:3231124286 254566446:254566446 0:65535 0:65535 6:6
3231124317:3231124317 254629902:254629902 0:65535 30804:30804 6:6
3231124416:3231124416 254629902:254629902 0:65535 30804:30804 6:6
3231124293:3231124293 254630012:254630012 0:65535 0:65535 6:6
3231123968:3231124479 254630012:254630012 0:65535 19856:19856 6:6
3231124293:3231124293 254630012:254630012 0:65535 32208:65535 6:6
3231124293:3231124293 254630012:254630012 0:65535 32200:65535 6:6
3231124308:3231124308 254630012:254630012 0:65535 32208:65535 6:6
3231124308:3231124308 254630012:254630012 0:65535 32200:65535 6:6
3231124263:3231124263 254630082:254630082 0:65535 0:19999 6:6
3231124263:3231124263 254630082:254630082 0:65535 0:20010 6:6
3231124317:3231124317 254630084:254630084 0:65535 2026:2026 6:6
3231124416:3231124416 254630084:254630084 0:65535 2026:2026 6:6
3231124258:3231124258 254630104:254630104 0:65535 1521:1521 6:6
3231124258:3231124258 254630104:254630104 0:65535 27000:27000 6:6
3231124258:3231124258 254630104:254630104 0:65535 65500:65500 6:6
3231124339:3231124339 254630104:254630104 0:65535 1521:1521 6:6
3231124284:3231124284 254630106:254630106 0:65535 1521:1521 6:6
3231123968:3231124479 254767120:254767121 0:65535 5555:5555 6:6
3231123968:3231124479 254767120:254767121 0:65535 0:65535 6:6
3231124354:3231124355 254767146:254767146 0:65535 1751:65535 6:6
3231124354:3231124355 254767146:254767146 0:65535 1700:65535 6:6
3231124384:3231124384 254767404:254767404 0:65535 14753:14753 6:6
3281456032:3281456032 254767409:254767409 0:65535 14753:14753 6:6
3231124383:3231124383 254767412:254767412 0:65535 14753:14753 6:6
3231123968:3231124479 255039493:255039493 0:65535 19856:19856 6:6
3231124254:3231124254 255330129:255330129 0:65535 1521:1521 6:6
3231124280:3231124280 255330129:255330129 0:65535 1521:1521 6:6
3231124250:3231124250 255338703:255338703 0:65535 1352:1352 6:6
3231124250:3231124250 255338703:255338703 0:65535 0:65535 1:1
3231124250:3231124250 255338703:255338703 0:65535 0:65535 0:255
3231124286:3231124286 255340578:255340578 0:65535 1526:1526 6:6
3231124254:3231124254 255340640:255340640 0:65535 1526:1526 6:6
3231124280:3231124280 255340640:255340640 0:65535 1526:1526 6:6
3231124254:3231124254 255340648:255340648 0:65535 1526:1526 6:6
3231124280:3231124280 255340648:255340648 0:65535 1526:1526 6:6
3231124286:3231124286 255342624:255342624 0:65535 0:32209 6:6
3231124286:3231124286 255342624:255342624 0:65535 0:32219 6:6
3231124303:3231124303 255346761:255346761 0:65535 1433:1433 6:6
3231124270:3231124270 255348828:255348828 0:65535 32201:32201 6:6
3231124393:3231124393 255348828:255348828 0:65535 32200:32200 6:6
3231124285:3231124285 255348843:255348843 0:65535 5540:5540 6:6
3231124285:3231124285 255348843:255348843 0:65535 5541:5541 6:6
3231124339:3231124339 255459384:255459384 0:65535 1432:1432 6:6
3231124339:3231124339 255459384:255459384 0:65535 0:65535 1:1
3231123968:3231124479 255494216:255494216 0:65535 5555:5555 6:6
3231123968:3231124479 255494216:255494216 0:65535 0:65535 6:6
3231124263:3231124263 255494184:255494184 0:65535 0:19999 6:6
3231124263:3231124263 255494184:255494184 0:65535 0:20010 6:6
3231124286:3231124286 255494189:255494189 0:65535 1433:1433 6:6
3231124377:3231124377 255494189:255494189 0:65535 1433:1433 6:6
3231124316:3231124316 255494193:255494193 0:65535 6888:6888 6:6
3231124316:3231124316 255494193:255494193 0:65535 6889:6889 6:6
3231124316:3231124316 255494193:255494193 0:65535 6890:6890 6:6
3231124385:3231124385 255494276:255494276 0:65535 1433:1433 6:6
3231124385:3231124385 255494276:255494276 0:65535 4646:4646 6:6
3231124233:3231124233 255494389:255494389 0:65535 0:65535 6:6
3231124233:3231124233 255494389:255494389 0:65535 3745:3745 6:6
3231124233:3231124233 255494389:255494389 0:65535 30210:30210 6:6
3231124233:3231124233 255494389:255494389 0:65535 30211:30211 6:6
3231124450:3231124450 255494389:255494389 0:65535 0:65535 6:6
3231124450:3231124450 255494389:255494389 0:65535 3745:3745 6:6
3231124450:3231124450 255494389:255494389 0:65535 30210:30210 6:6
3231124450:3231124450 255494389:255494389 0:65535 30211:30211 6:6
3231124233:3231124233 255494393:255494393 0:65535 1433:1433 6:6
3231124450:3231124450 255494393:255494393 0:65535 1433:1433 6:6
3231124271:3231124271 255494667:255494667 0:65535 27400:27400 6:6
3231124310:3231124310 255495937:255495937 0:65535 1433:1433 6:6
3231124310:3231124310 255495937:255495937 0:65535 1600:1600 6:6
3231124310:3231124310 255495937:255495937 0:65535 1601:1601 6:6
3231124310:3231124310 255495937:255495937 0:65535 1602:1602 6:6
3231124282:3231124282 255495962:255495962 0:65535 1433:1433 6:6
3231124282:3231124282 255495962:255495962 0:65535 2308:2308 6:6
3231124286:3231124286 255495966:255495966 0:65535 1521:1521 6:6
3231124286:3231124286 255495967:255495967 0:65535 1521:1521 6:6
3231124286:3231124286 255495967:255495967 0:65535 0:65535 6:6
3231124377:3231124377 255495967:255495967 0:65535 0:65535 6:6
3231124251:3231124251 255664495:255664495 0:65535 0:65535 6:6
3231124251:3231124251 255664495:255664495 0:65535 2121:2121 6:6
3231124251:3231124251 255664495:255664495 0:65535 2211:65535 6:6
3231124251:3231124251 255664495:255664495 0:65535 2200:65535 6:6
3231124252:3231124252 255664495:255664495 0:65535 2121:2121 6:6
3231124252:3231124252 255664495:255664495 0:65535 2211:65535 6:6
3231124252:3231124252 255664495:255664495 0:65535 2200:65535 6:6
3231124252:3231124252 255664495:255664495 0:65535 0:65535 6:6
3231124299:3231124299 255664495:255664495 0:65535 0:65535 6:6
3231124299:3231124299 255664495:255664495 0:65535 2121:2121 6:6
3231124299:3231124299 255664495:255664495 0:65535 2211:65535 6:6
3231124299:3231124299 255664495:255664495 0:65535 2200:65535 6:6
3231124300:3231124300 255664495:255664495 0:65535 2121:2121 6:6
3231124300:3231124300 255664495:255664495 0:65535 2211:65535 6:6
3231124300:3231124300 255664495:255664495 0:65535 2200:65535 6:6
3231124300:3231124300 255664495:255664495 0:65535 0:65535 6:6
3231124248:3231124248 255705346:255705346 0:65535 32208:65535 6:6
3231124248:3231124248 255705346:255705346 0:65535 32200:65535 6:6
3231124251:3231124251 256022834:256022834 0:65535 135:135 17:17
3231124251:3231124251 256022834:256022834 0:65535 135:135 6:6
3231124251:3231124251 256022834:256022834 0:65535 7600:65535 6:6
3231124251:3231124251 256022834:256022834 0:65535 7500:65535 6:6
3231124285:3231124285 256213534:256213534 0:65535 5540:5540 6:6
3231124285:3231124285 256213534:256213534 0:65535 5541:5541 6:6
3231124286:3231124286 256251945:256251945 0:65535 1521:1521 6:6
3231124298:3231124298 256620675:256620675 0:65535 1433:1433 6:6
3231124357:3231124357 257112090:257112090 0:65535 6789:6789 6:6
3231124285:3231124285 257329515:257329515 0:65535 5540:5540 6:6
3231124285:3231124285 257329515:257329515 0:65535 5541:5541 6:6
3231124241:3231124241 260050808:260050808 0:65535 1489:1489 6:6
3231124241:3231124241 260050808:260050808 0:65535 1490:1490 6:6
3231124265:3231124265 260050808:260050808 0:65535 1489:1489 6:6
3231124265:3231124265 260050808:260050808 0:65535 1490:1490 6:6
3231124278:3231124278 260050808:260050808 0:65535 1489:1489 6:6
3231124278:3231124278 260050808:260050808 0:65535 1490:1490 6:6
3231124295:3231124295 260050808:260050808 0:65535 1489:1489 6:6
3231124295:3231124295 260050808:260050808 0:65535 1490:1490 6:6
3231124284:3231124284 260113203:260113203 0:65535 2051:2051 6:6
3231124284:3231124284 260711442:260711442 0:65535 12050:12050 6:6
3231124263:3231124263 261096678:261096678 0:65535 0:65535 6:6
3231124263:3231124263 261096678:261096678 0:65535 0:65535 1:1
3231124271:3231124271 256419998:256419998 0:65535 6849:6849 6:6
3231124271:3231124271 256420505:256420505 0:65535 1433:1433 6:6
3231124271:3231124271 256420901:256420901 0:65535 6849:6849 6:6
3231124251:3231124251 263717931:263717931 0:65535 135:135 17:17
3231124251:3231124251 263717931:263717931 0:65535 135:135 6:6
3231124251:3231124251 263717931:263717931 0:65535 0:7499 6:6
3231124251:3231124251 263717931:263717931 0:65535 0:7599 6:6
0:4294967295 251658240:268435455 0:65535 0:65535 0:255
3231124318:3231124318 202687488:202688511 0:65535 20:20 6:6
3231124318:3231124318 202687488:202688511 0:65535 21:21 6:6
3231124318:3231124318 202687488:202688511 0:65535 6000:6000 6:6
3231124318:3231124318 202687488:202688511 0:65535 0:65535 6:6
3231124330:3231124330 202687488:202688511 0:65535 20:20 6:6
3231124330:3231124330 202687488:202688511 0:65535 21:21 6:6
3231124330:3231124330 202687488:202688511 0:65535 6000:6000 6:6
3231124330:3231124330 202687488:202688511 0:65535 0:65535 6:6
3231124332:3231124332 202687488:202688511 0:65535 20:20 6:6
3231124332:3231124332 202687488:202688511 0:65535 21:21 6:6
3231124332:3231124332 202687488:202688511 0:65535 6000:6000 6:6
3231124332:3231124332 202687488:202688511 0:65535 0:65535 6:6
3231124342:3231124343 202687488:202688511 0:65535 20:20 6:6
3231124342:3231124343 202687488:202688511 0:65535 21:21 6:6
3231124342:3231124343 202687488:202688511 0:65535 6000:6000 6:6
3231124342:3231124343 202687488:202688511 0:65535 0:65535 6:6
3231124344:3231124347 202687488:202688511 0:65535 20:20 6:6
3231124344:3231124347 202687488:202688511 0:65535 21:21 6:6
3231124344:3231124347 202687488:202688511 0:65535 6000:6000 6:6
3231124344:3231124347 202687488:202688511 0:65535 0:65535 6:6
3231124361:3231124361 202687488:202688511 0:65535 20:20 6:6
3231124361:3231124361 202687488:202688511 0:65535 21:21 6:6
3231124361:3231124361 202687488:202688511 0:65535 6000:6000 6:6
3231124361:3231124361 202687488:202688511 0:65535 0:65535 6:6
3231124394:3231124394 202687488:202688511 0:65535 20:20 6:6
3231124394:3231124394 202687488:202688511 0:65535 21:21 6:6
3231124394:3231124394 202687488:202688511 0:65535 6000:6000 6:6
3231124394:3231124394 202687488:202688511 0:65535 0:65535 6:6
3231124400:3231124403 202687488:202688511 0:65535 20:20 6:6
3231124400:3231124403 202687488:202688511 0:65535 21:21 6:6
3231124400:3231124403 202687488:202688511 0:65535 6000:6000 6:6
3231124400:3231124403 202687488:202688511 0:65535 0:65535 6:6
3231124405:3231124405 202687488:202688511 0:65535 20:20 6:6
3231124405:3231124405 202687488:202688511 0:65535 21:21 6:6
3231124405:3231124405 202687488:202688511 0:65535 6000:6000 6:6
3231124405:3231124405 202687488:202688511 0:65535 0:65535 6:6
3231123968:3231124479 2153315830:2153315830 0:65535 0:65535 6:6
3231124240:3231124240 2504721083:2504721083 0:65535 0:65535 0:255
3231124339:3231124339 2523187467:2523187467 0:65535 443:443 6:6
3231124339:3231124339 2523187467:2523187467 0:65535 80:80 6:6
3231124339:3231124339 2523187467:2523187467 0:65535 0:65535 6:6
3231123968:3231124479 2627210304:2627210367 0:65535 0:65535 6:6
3231124310:3231124310 2627213393:2627213393 0:65535 5631:5631 6:6
3231124310:3231124310 2627213393:2627213393 0:65535 5632:5632 6:6
3231124310:3231124310 2627213394:2627213395 0:65535 5631:5631 6:6
3231124310:3231124310 2627213394:2627213395 0:65535 5632:5632 6:6
3231124310:3231124310 2627213396:2627213396 0:65535 5631:5631 6:6
3231124310:3231124310 2627213396:2627213396 0:65535 5632:5632 6:6
3231124310:3231124310 2627213398:2627213399 0:65535 5631:5631 6:6
3231124310:3231124310 2627213398:2627213399 0:65535 5632:5632 6:6
3231124310:3231124310 2627214402:2627214403 0:65535 5631:5631 6:6
3231124310:3231124310 2627214402:2627214403 0:65535 5632:5632 6:6
3231124310:3231124310 2627214404:2627214407 0:65535 5631:5631 6:6
3231124310:3231124310 2627214404:2627214407 0:65535 5632:5632 6:6
3231124354:3231124354 2627214592:2627214847 0:65535 0:65535 6:6
3231124355:3231124355 2627214592:2627214847 0:65535 0:65535 6:6
3231124420:3231124421 2627214592:2627214847 0:65535 0:65535 0:255
3231124457:3231124457 2627214592:2627214847 0:65535 0:65535 0:255
3231124458:3231124458 2627214592:2627214847 0:65535 0:65535 0:255
3231124330:3231124330 2627239426:2627239426 0:65535 0:65535 1:1
3231124332:3231124332 2627239426:2627239426 0:65535 0:65535 1:1
3231124342:3231124343 2627239426:2627239426 0:65535 0:65535 1:1
3231124344:3231124347 2627239426:2627239426 0:65535 0:65535 1:1
3231124361:3231124361 2627239426:2627239426 0:65535 0:65535 1:1
3231124394:3231124394 2627239426:2627239426 0:65535 0:65535 1:1
3231124400:3231124403 2627239426:2627239426 0:65535 0:65535 1:1
3231124405:3231124405 2627239426:2627239426 0:65535 0:65535 1:1
3231123968:3231124479 2627283458:2627283458 0:65535 0:65535 1:1
3231124330:3231124330 2627283458:2627283458 0:65535 0:65535 1:1
3231124332:3231124332 2627283458:2627283458 0:65535 0:65535 1:1
3231124342:3231124343 2627283458:2627283458 0:65535 0:65535 1:1
3231124344:3231124347 2627283458:2627283458 0:65535 0:65535 1:1
3231124361:3231124361 2627283458:2627283458 0:65535 0:65535 1:1
3231124394:3231124394 2627283458:2627283458 0:65535 0:65535 1:1
3231124400:3231124403 2627283458:2627283458 0:65535 0:65535 1:1
3231124405:3231124405 2627283458:2627283458 0:65535 0:65535 1:1
3231123968:3231124479 2627284224:2627284239 0:65535 80:80 6:6
3231123968:3231124479 2627284224:2627284239 0:65535 443:443 6:6
3231123968:3231124479 2627307264:2627307391 0:65535 0:65535 6:6
3231124365:3231124365 2853086720:2853086975 0:65535 0:65535 6:6
3231124388:3231124388 2853086720:2853086975 0:65535 0:65535 6:6
3231124392:3231124392 2853086720:2853086975 0:65535 0:65535 6:6
3231124365:3231124365 2853086720:2853086975 0:65535 0:65535 1:1
3231124365:3231124365 2853087232:2853087487 0:65535 0:65535 6:6
3231124388:3231124388 2853087232:2853087487 0:65535 0:65535 6:6
3231124392:3231124392 2853087232:2853087487 0:65535 0:65535 6:6
3231124365:3231124365 2853087488:2853087743 0:65535 0:65535 6:6
3231124388:3231124388 2853087488:2853087743 0:65535 0:65535 6:6
3231124392:3231124392 2853087488:2853087743 0:65535 0:65535 6:6
3231124365:3231124365 2853090304:2853091327 0:65535 0:65535 6:6
3231124388:3231124388 2853090304:2853091327 0:65535 0:65535 6:6
3231124392:3231124392 2853090304:2853091327 0:65535 0:65535 6:6
3231123968:3231124479 3221628672:3221628927 0:65535 0:65535 6:6
3231124410:3231124410 3231125320:3231125320 0:65535 0:65535 0:255
3231124449:3231124449 3231125320:3231125320 0:65535 0:65535 0:255
3231124240:3231124240 3231125321:3231125321 0:65535 0:65535 0:255
3231124293:3231124293 3231125321:3231125321 0:65535 0:65535 0:255
3231124308:3231124308 3231125321:3231125321 0:65535 0:65535 0:255
3231124349:3231124349 3231125321:3231125321 0:65535 0:65535 0:255
3231124362:3231124363 3231125321:3231125321 0:65535 0:65535 0:255
3231124364:3231124364 3231125321:3231125321 0:65535 0:65535 0:255
3231124379:3231124379 3231125321:3231125321 0:65535 0:65535 0:255
3231124410:3231124410 3231125321:3231125321 0:65535 0:65535 0:255
3231124240:3231124240 3231125322:3231125322 0:65535 0:65535 6:6
3231124358:3231124358 3231125322:3231125322 0:65535 0:65535 6:6
3231124362:3231124363 3231125322:3231125322 0:65535 0:65535 6:6
3231124240:3231124240 3231125323:3231125323 0:65535 0:65535 6:6
3231124240:3231124240 3231125324:3231125325 0:65535 0:65535 6:6
3231124379:3231124379 3231125325:3231125325 0:65535 0:65535 6:6
3231124410:3231124410 3231125325:3231125325 0:65535 0:65535 6:6
3231124240:3231124240 3231125328:3231125328 0:65535 0:65535 0:255
3231124358:3231124358 3231125329:3231125329 0:65535 0:65535 0:255
3231124377:3231124377 3231125341:3231125341 0:65535 0:65535 6:6
3231124420:3231124421 3231125345:3231125345 0:65535 1521:1521 6:6
3231124379:3231124379 3231125348:3231125348 0:65535 0:65535 6:6
3231124410:3231124410 3231125348:3231125348 0:65535 0:65535 6:6
3231124449:3231124449 3231125348:3231125348 0:65535 0:65535 6:6
3231124410:3231124410 3231125349:3231125349 0:65535 0:65535 0:255
3231124240:3231124240 3231125384:3231125384 0:65535 0:65535 0:255
3231124293:3231124293 3231125384:3231125384 0:65535 0:65535 0:255
3231124308:3231124308 3231125384:3231125384 0:65535 0:65535 0:255
3231124349:3231124349 3231125384:3231125384 0:65535 0:65535 0:255
3231124362:3231124363 3231125384:3231125384 0:65535 0:65535 0:255
3231124364:3231124364 3231125384:3231125384 0:65535 0:65535 0:255
3231124379:3231124379 3231125384:3231125384 0:65535 0:65535 0:255
3231124410:3231124410 3231125384:3231125384 0:65535 0:65535 0:255
3231124240:3231124240 3231125385:3231125385 0:65535 0:65535 6:6
3231124358:3231124358 3231125385:3231125385 0:65535 0:65535 6:6
3231124362:3231124363 3231125385:3231125385 0:65535 0:65535 6:6
3231124240:3231124240 3231125386:3231125386 0:65535 0:65535 0:255
3231124240:3231124240 3231125387:3231125387 0:65535 0:65535 6:6
3231124240:3231124240 3231125388:3231125388 0:65535 0:65535 6:6
3231124358:3231124358 3231125391:3231125391 0:65535 0:65535 0:255
3231124266:3231124266 3349968543:3349968543 0:65535 0:65535 6:6
3231124319:3231124319 3349968543:3349968543 0:65535 0:65535 6:6
3231124323:3231124323 3349968543:3349968543 0:65535 0:65535 6:6
3231124365:3231124365 3349968543:3349968543 0:65535 0:65535 6:6
3231124359:3231124359 3437435233:3437435233 0:65535 0:65535 6:6
3231124280:3231124280 3474207076:3474207076 0:65535 0:65535 6:6
3231124280:3231124280 3474207176:3474207176 0:65535 0:65535 6:6
3231124298:3231124298 3501767719:3501767719 0:65535 1025:65535 6:6
3231124351:3231124351 3501767719:3501767719 0:65535 1025:65535 6:6
3231124298:3231124298 3630654223:3630654223 0:65535 0:65535 6:6
3231124351:3231124351 3630654223:3630654223 0:65535 1025:65535 6:6
3231123968:3231124479 0:4294967295 0:65535 0:65535 0:255
3231124316:3231124316 3456971447:3456971447 0:65535 0:65535 6:6
